evolution$generation,maxNewLinksNumber,densityConf,breakdownHierarchy,breakdownThreshold,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,nwDiameter,meanBwCentrality,nwSize,breakdownThreshold,densityConf,meanPathLength,maxNewLinksNumber,replication,breakdownHierarchy,nwLength,meanRelativeSpeed,meanClosenessCentrality
4500,7.83588274402403,38,2.753927593109041,1.0,1.1695934542318875,0.5150736182283056,0.05547208102692151,0.034509502475475365,0.736372204359921,713.1705831559614,2,"[1.2640255247255408,1.0751613837382346]","[0.05495585123655836,0.05598831081728466]","[131.0,124.0]","[1.0,1.0]","[38,38]","[0.5324413152174584,0.4977059212391526]","[7.83588274402403,7.83588274402403]","[-1641708505,390106364]","[2.753927593109041,2.753927593109041]","[692.2934096120399,734.0477566998827]","[0.7269977133399774,0.7457466953798646]","[0.03624122977876245,0.03277777517218827]"
4500,7.5320435071269465,43,1.367548941229783,1.622506471772632,1.3187238561680112,0.6162749203067538,0.07767049201952249,0.021112292664337052,0.6681406900644117,517.0710383045683,1,"[1.3187238561680112]","[0.07767049201952249]","[122.0]","[1.622506471772632]","[43]","[0.6162749203067538]","[7.5320435071269465]","[1121227815]","[1.367548941229783]","[517.0710383045683]","[0.6681406900644117]","[0.021112292664337052]"
4500,6.911736725302406,32,4.0,1.8446371198164817,1.4735660506096593,0.6155336349638878,0.09852817885421519,0.026894021876410323,0.6655076810757683,451.60165250406277,1,"[1.4735660506096593]","[0.09852817885421519]","[107.0]","[1.8446371198164817]","[32]","[0.6155336349638878]","[6.911736725302406]","[1756951148]","[4.0]","[451.60165250406277]","[0.6655076810757683]","[0.026894021876410323]"
4500,5.905808227489669,36,2.682732875508738,1.0,0.9868226108831484,0.42987739328345,0.05472837022132797,0.03844683571811323,0.7489171133081005,631.6620815438075,1,"[0.9868226108831484]","[0.05472837022132797]","[127.0]","[1.0]","[36]","[0.42987739328345]","[5.905808227489669]","[-209610925]","[2.682732875508738]","[631.6620815438075]","[0.7489171133081005]","[0.03844683571811323]"
4500,6.698703729870953,1,4.0,1.0,1.1044580764549712,0.47183844231193306,0.04845988845988846,0.0401437381110402,0.7618451596391853,689.1455526033704,1,"[1.1044580764549712]","[0.04845988845988846]","[121.0]","[1.0]","[1]","[0.47183844231193306]","[6.698703729870953]","[694813725]","[4.0]","[689.1455526033704]","[0.7618451596391853]","[0.0401437381110402]"
4500,2.8946503763722324,38,2.4952933207872987,1.1704861513985172,1.5207210534694988,0.6202404274173411,0.08217021599786076,0.028383354752297113,0.6633043389518356,463.88661308150006,2,"[1.64713769451827,1.3943044124207276]","[0.0852994555353902,0.0790409764603313]","[107.0,111.0]","[1.1704861513985172,1.1704861513985172]","[38,38]","[0.6216733509327632,0.618807503901919]","[2.8946503763722324,2.8946503763722324]","[-433957744,-1907928172]","[2.4952933207872987,2.4952933207872987]","[438.22155098719605,489.551675175804]","[0.6659891137742527,0.6606195641294185]","[0.029002257317291037,0.027764452187303192]"
4500,2.692688330871095,24,0.7603435999789832,1.6394898691919106,1.2830823288397804,0.5855891913553586,0.0984463708992011,0.031275078716440904,0.6181391796720818,406.1765291659534,1,"[1.2830823288397804]","[0.0984463708992011]","[101.0]","[1.6394898691919106]","[24]","[0.5855891913553586]","[2.692688330871095]","[-1068702874]","[0.7603435999789832]","[406.1765291659534]","[0.6181391796720818]","[0.031275078716440904]"
4500,7.47521703574356,1,2.930736416440617,1.1960555944640767,1.0431006024402942,0.47714930880648787,0.04763846177740502,0.03850942990417602,0.7332552994066733,659.9552164992596,1,"[1.0431006024402942]","[0.04763846177740502]","[140.0]","[1.1960555944640767]","[1]","[0.47714930880648787]","[7.47521703574356]","[336284923]","[2.930736416440617]","[659.9552164992596]","[0.7332552994066733]","[0.03850942990417602]"
4500,4.2202784708748835,16,1.4858398488695017,1.5096884902035659,1.5592859374420074,0.6518280062913703,0.09987853751372137,0.02926009836667728,0.6766992057796508,471.91700610277036,1,"[1.5592859374420074]","[0.09987853751372137]","[104.0]","[1.5096884902035659]","[16]","[0.6518280062913703]","[4.2202784708748835]","[341913839]","[1.4858398488695017]","[471.91700610277036]","[0.6766992057796508]","[0.02926009836667728]"
4500,2.6985000117857476,36,1.610100020740144,1.2088193943457044,1.4951142646452813,0.5266619473826781,0.08467801469395705,0.032687477171601004,0.6688031874352766,411.4907182830761,2,"[1.4262562957480895,1.5639722335424733]","[0.08359903952133522,0.0857569898665789]","[104.0,102.0]","[1.2088193943457044,1.2088193943457044]","[36,36]","[0.5429378706444151,0.5103860241209413]","[2.6985000117857476,2.6985000117857476]","[-1236241258,54539846]","[1.610100020740144,1.610100020740144]","[426.72317819292084,396.25825837323134]","[0.6619771313191343,0.6756292435514188]","[0.03290560619239461,0.032469348150807396]"
