evolution$generation,maxNewLinksNumber,densityConf,bioThreshold,bioSteps,nwDiameter,meanPathLength,meanBwCentrality,meanClosenessCentrality,meanRelativeSpeed,nwLength,evolution$samples,bioThreshold,nwDiameter,bioSteps,meanBwCentrality,nwSize,densityConf,nwLength,meanPathLength,maxNewLinksNumber,replication,meanRelativeSpeed,meanClosenessCentrality
5500,5.179570258815156,37,0.5716990138430456,75.72154583030849,1.355196415985901,0.5802801895250035,0.05287168408555692,0.03270917099184317,0.7180912688401124,612.012637922125,1,"[0.5716990138430456]","[1.355196415985901]","[75.72154583030849]","[0.05287168408555692]","[109.0]","[37]","[612.012637922125]","[0.5802801895250035]","[5.179570258815156]","[2010615031]","[0.7180912688401124]","[0.03270917099184317]"
5500,4.00279296955508,43,0.47403823834065983,91.45994434990982,1.2168700978342175,0.5818732730547929,0.04620642515379358,0.023437564259223817,0.7724152203309433,655.9750890723046,1,"[0.47403823834065983]","[1.2168700978342175]","[91.45994434990982]","[0.04620642515379358]","[123.0]","[43]","[655.9750890723046]","[0.5818732730547929]","[4.00279296955508]","[-493898273]","[0.7724152203309433]","[0.023437564259223817]"
5500,6.18578940466274,42,0.5500518687721008,93.16279322533835,1.5249753836553692,0.5964635358199554,0.04455205811138015,0.022491489044608102,0.729456681026699,693.2018901838532,1,"[0.5500518687721008]","[1.5249753836553692]","[93.16279322533835]","[0.04455205811138015]","[141.0]","[42]","[693.2018901838532]","[0.5964635358199554]","[6.18578940466274]","[-1661838922]","[0.729456681026699]","[0.022491489044608102]"
5500,10.0,22,0.4382455835227747,57.606450239003436,0.9811805576128255,0.42476659917120696,0.034012078456522904,0.025173227835921776,0.8175823424405098,779.1999795056969,1,"[0.4382455835227747]","[0.9811805576128255]","[57.606450239003436]","[0.034012078456522904]","[163.0]","[22]","[779.1999795056969]","[0.42476659917120696]","[10.0]","[-1372994612]","[0.8175823424405098]","[0.025173227835921776]"
5500,5.314920964915104,26,0.5724898316693543,100.0,1.6869997069195628,0.6380504994193302,0.06374807987711213,0.0260133604364572,0.693048134067237,495.7357468098158,1,"[0.5724898316693543]","[1.6869997069195628]","[100.0]","[0.06374807987711213]","[125.0]","[26]","[495.7357468098158]","[0.6380504994193302]","[5.314920964915104]","[228241281]","[0.693048134067237]","[0.0260133604364572]"
5500,5.451385657378588,39,0.5654861291708887,61.19196304493323,1.0406671769682359,0.5263077001346382,0.03595874355368026,0.0610336659030388,0.8505674485853504,704.7561793884738,1,"[0.5654861291708887]","[1.0406671769682359]","[61.19196304493323]","[0.03595874355368026]","[117.0]","[39]","[704.7561793884738]","[0.5263077001346382]","[5.451385657378588]","[-355512260]","[0.8505674485853504]","[0.0610336659030388]"
5500,4.009446756911313,6,0.558495289875966,98.64512526930334,1.4257014136369877,0.46805117501540533,0.04244947051550825,0.03656688638465942,0.769892942809623,710.6770869065699,1,"[0.558495289875966]","[1.4257014136369877]","[98.64512526930334]","[0.04244947051550825]","[122.0]","[6]","[710.6770869065699]","[0.46805117501540533]","[4.009446756911313]","[1872558789]","[0.769892942809623]","[0.03656688638465942]"
5500,4.098241494306403,19,0.5727928521893608,100.0,1.2323069750372257,0.49240160185217385,0.04788715486194478,0.03227384902200076,0.7464629164465165,585.8824401455328,1,"[0.5727928521893608]","[1.2323069750372257]","[100.0]","[0.04788715486194478]","[121.0]","[19]","[585.8824401455328]","[0.49240160185217385]","[4.098241494306403]","[1296147804]","[0.7464629164465165]","[0.03227384902200076]"
5500,6.519898452780171,36,0.6,44.34446804359169,1.5331789592648353,0.5836628182595247,0.05869100411783339,0.03056407419512679,0.680931816749533,485.5328352783678,1,"[0.6]","[1.5331789592648353]","[44.34446804359169]","[0.05869100411783339]","[111.0]","[36]","[485.5328352783678]","[0.5836628182595247]","[6.519898452780171]","[414936989]","[0.680931816749533]","[0.03056407419512679]"
5500,4.615701724331035,20,0.5069696602748095,81.76727735309392,1.5235346441611581,0.5497578993259303,0.05215419501133786,0.03800324777319956,0.7579110903586064,503.8409327424274,1,"[0.5069696602748095]","[1.5235346441611581]","[81.76727735309392]","[0.05215419501133786]","[100.0]","[20]","[503.8409327424274]","[0.5497578993259303]","[4.615701724331035]","[2053393932]","[0.7579110903586064]","[0.03800324777319956]"
5500,7.916673579864175,50,0.4,66.32381894413764,1.019340384677787,0.504677193326937,0.02965591186538102,0.0147108011403079,0.8290824670310672,1001.2550901413233,2,"[0.4,0.4]","[0.9945891017445728,1.0440916676110013]","[66.32381894413764,66.32381894413764]","[0.029074629074629075,0.030237194656132966]","[241.0,254.0]","[50,50]","[973.3453692763605,1029.164811006286]","[0.48083844913335616,0.5285159375205178]","[7.916673579864175,7.916673579864175]","[1217196284,-639716652]","[0.854892204583621,0.8032727294785134]","[0.014971634663524611,0.01444996761709119]"
5500,4.013504510633698,18,0.5612470203852984,97.49158394465381,1.5615379559740754,0.677070150601108,0.04988571478233664,0.030807035920116237,0.6973847489391357,642.3497452678884,1,"[0.5612470203852984]","[1.5615379559740754]","[97.49158394465381]","[0.04988571478233664]","[106.0]","[18]","[642.3497452678884]","[0.677070150601108]","[4.013504510633698]","[266049704]","[0.6973847489391357]","[0.030807035920116237]"
5500,4.178865106583353,45,0.431142160338815,91.48199338876174,1.310122451969231,0.5801762894202924,0.041208317952504,0.02142964972493375,0.7814937565561695,680.5884865685223,1,"[0.431142160338815]","[1.310122451969231]","[91.48199338876174]","[0.041208317952504]","[145.0]","[45]","[680.5884865685223]","[0.5801762894202924]","[4.178865106583353]","[1015469325]","[0.7814937565561695]","[0.02142964972493375]"
5500,4.090163746082033,17,0.5345672773199444,89.05200619172683,1.1850454205814205,0.5490155272675978,0.056555137392380266,0.02764238054294567,0.7713295769575998,574.0168032012964,1,"[0.5345672773199444]","[1.1850454205814205]","[89.05200619172683]","[0.056555137392380266]","[105.0]","[17]","[574.0168032012964]","[0.5490155272675978]","[4.090163746082033]","[2050481824]","[0.7713295769575998]","[0.02764238054294567]"
